Risk,Confidence,Count
0 (0.0%),0 (0.0%),0
0 (0.0%),2 (11.1%),6
0 (0.0%),1 (5.6%),5
0 (0.0%),2 (11.1%),7
0 (0.0%),5 (27.8%),18
