NAME                     INSTALLED                         FIXED-IN                                    TYPE    VULNERABILITY        SEVERITY   
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10098       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10092       Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2019-10082       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2019-0220        Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2018-20843       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.22                           deb     CVE-2018-17199       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1312        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1303        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1301        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2018-1283        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.16                           deb     CVE-2017-7679        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2017-15715       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.20                           deb     CVE-2017-15710       Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-4975        Low         
apache2                  2.4.7-1ubuntu4.9                  2.4.7-1ubuntu4.15                           deb     CVE-2016-2161        Low         
apache2                  2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-20325       Negligible  
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25236       High        
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-25235       High        
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2021-42013       High        
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-52426       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-52425       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-45802       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-27522       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2023-25690       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-43680       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-40674       Medium      
apache2-bin              2.4.7-1ubuntu4.9                  (won't fix)                                 deb     CVE-2022-37436       Medium      
